Date,s&p(log),vix
2020-06-11,-0.060752759,40.790001
2020-06-12,0.0129763,36.09
2020-06-15,0.008277851,34.400002
2020-06-16,0.018784885,33.669998
2020-06-17,-0.003606796,33.470001
2020-06-18,0.000594012,32.939999
2020-06-19,-0.005665482,35.119999
2020-06-22,0.006474056,31.77
2020-06-23,0.004298191,31.370001
2020-06-24,-0.026195279,33.84
2020-06-25,0.01089985,32.220001
2020-06-26,-0.024525217,34.73
2020-06-29,0.014578908,31.780001
2020-06-30,0.015292334,30.43
2020-07-01,0.005009542,28.620001
2020-07-02,0.004531002,27.68
2020-07-06,0.015756943,27.940001
2020-07-07,-0.010877509,29.43
2020-07-08,0.007797026,28.08
2020-07-09,-0.005659625,29.26
2020-07-10,0.010411813,27.290001
2020-07-13,-0.009406624,32.189999
2020-07-14,0.013317285,29.52
2020-07-15,0.009041045,27.76
2020-07-16,-0.003411918,28
2020-07-17,0.00284459,25.68
2020-07-20,0.008371764,24.459999
2020-07-21,0.001677641,24.84
2020-07-22,0.00573064,24.32
2020-07-23,-0.012396345,26.08
2020-07-24,-0.006209631,25.84
2020-07-27,0.00736792,24.74
2020-07-28,-0.006494444,25.440001
2020-07-29,0.012351783,24.1
2020-07-30,-0.003757311,24.76
2020-07-31,0.007641191,24.459999
2020-08-03,0.007155366,24.280001
2020-08-04,0.003605453,23.76
2020-08-05,0.006409158,22.99
2020-08-06,0.006407158,22.65
2020-08-07,0.000632794,22.209999
2020-08-10,0.002738483,22.129999
2020-08-11,-0.008001047,24.030001
2020-08-12,0.013899456,22.280001
2020-08-13,-0.002049224,22.129999
2020-08-14,-0.000171947,22.049999
2020-08-17,0.002706209,21.35
2020-08-18,0.002300729,21.51
2020-08-19,-0.004414144,22.540001
2020-08-20,0.003153681,22.719999
2020-08-21,0.003435229,22.540001
2020-08-24,0.009993581,22.370001
2020-08-25,0.003589874,22.030001
2020-08-26,0.010144041,23.27
2020-08-27,0.001671626,24.469999
2020-08-28,0.006710014,22.959999
2020-08-31,-0.002197389,26.41
2020-09-01,0.007496876,26.120001
2020-09-02,0.015248998,26.57
2020-09-03,-0.035757587,33.599998
2020-09-04,-0.008166252,30.75
2020-09-08,-0.028148867,31.459999
2020-09-09,0.019944799,28.809999
2020-09-10,-0.01774124,29.709999
2020-09-11,0.000532921,26.870001
