Date,Open,High,Low,Close,Adj Close,Volume,Log Return
2019-01-07,233.649994,252.919998,230.759995,250.570007,217.127167,19295100,0.07171330197943714
2019-01-14,248.110001,262.220001,245.899994,260.820007,226.009171,15901700,0.040092373157485324
2019-01-21,258.0,268.309998,253.649994,267.940002,232.178848,13525900,0.026932393134936894
2019-01-28,261.559998,273.75,258.649994,266.809998,231.199646,13185800,-0.004226365574727212
2019-02-04,267.5,280.0,264.950012,274.059998,237.481979,12299300,0.026810137045904216
2019-02-11,274.399994,284.089996,273.279999,281.929993,244.301651,9037800,0.028311993624095554
2019-02-18,281.149994,286.630005,274.660004,276.5,239.596359,7178100,-0.019448066359617204
2019-02-25,280.779999,280.829987,268.630005,272.75,236.346893,12609700,-0.013655058571134379
2019-03-04,275.0,280.440002,259.200012,264.190002,228.929398,10663200,-0.03188696105301212
2019-03-11,264.890015,299.549988,264.049988,290.290009,251.545883,26973400,0.09421175993444733
2019-03-18,290.230011,300.980011,290.209991,292.649994,253.590851,20025100,0.008096735138010416
2019-03-25,292.200012,303.299988,289.0,300.709991,262.902771,13127200,0.036062126395739816
2019-04-01,303.109985,307.399994,299.75,304.279999,266.023956,10626600,0.011802093067287833
2019-04-08,304.140015,317.440002,300.290009,317.029999,277.170959,8726800,0.04104813143828983
2019-04-15,317.029999,322.450012,313.170013,318.619995,278.561035,8201800,0.005002695234830977
2019-04-22,317.320007,318.089996,305.109985,310.410004,271.38327,9975200,-0.026105089380160405
2019-04-29,311.23999,323.200012,310.440002,315.709991,276.016907,9015700,0.016930018917514663
2019-05-06,306.790009,311.929993,296.660004,303.959991,265.744171,9451100,-0.03792803825451395
2019-05-13,293.820007,307.769989,288.200012,289.890015,253.443192,16363400,-0.047394379589146114
2019-05-20,278.0,279.950012,255.740005,255.940002,223.761551,19660100,-0.1245587228402507
2019-05-27,256.570007,257.730011,250.089996,251.639999,220.002151,12959900,-0.016943656826175976
2019-06-03,252.550003,277.869995,251.199997,274.869995,240.311569,14801700,0.08829896199293041
2019-06-10,276.730011,291.75,257.470001,265.929993,232.495529,22597400,-0.03306529083523875
2019-06-17,264.839996,285.450012,261.339996,273.98999,239.542175,22231500,0.02985850264630299
2019-06-24,275.519989,289.299988,275.0,287.859985,254.081223,14079400,0.0589244941104843
2019-07-01,301.679993,305.75,281.970001,282.660004,249.49147,13781900,-0.01822926526138674
2019-07-08,280.0,285.929993,272.410004,285.390015,251.901108,13323900,0.009611855689368228
2019-07-15,291.100006,294.48999,282.390015,290.0,255.970154,10180800,0.01602426982564152
2019-07-22,293.0,304.880005,292.23999,300.920013,265.608704,10334000,0.03696333640426204
2019-07-29,301.230011,302.549988,275.910004,278.529999,245.846085,8604200,-0.07731851876261349
2019-08-05,271.950012,280.549988,262.5,275.730011,243.374649,13210600,-0.010103647914516687
2019-08-12,273.380005,285.5,264.850006,273.779999,241.653458,10695600,-0.007097313331408408
2019-08-19,279.5,289.410004,271.049988,272.130005,240.197052,9282600,-0.006045071676294357
2019-08-26,276.950012,285.899994,270.470001,282.640015,249.473846,7889800,0.03789444758085543
2019-09-02,280.0,293.679993,270.929993,291.910004,257.656006,7676100,0.03227130114966532
2019-09-09,295.0,302.329987,283.890015,290.320007,256.252594,15746200,-0.00546173186713287
2019-09-16,286.799988,291.950012,281.820007,284.26001,250.903671,11554300,-0.021094568735648876
2019-09-23,283.619995,288.899994,270.0,274.140015,244.197739,14686700,-0.027090781763079285
2019-09-30,275.790009,281.700012,267.220001,281.429993,250.691483,10177800,0.026244728881726704
2019-10-07,280.01001,284.079987,268.910004,280.910004,250.228333,9878100,-0.0018491986828479909
2019-10-14,280.420013,291.709991,279.880005,286.730011,255.412689,8469400,0.020506792186356527
2019-10-21,288.440002,291.899994,278.700012,289.820007,258.165131,8479900,0.010718797602627726
2019-10-28,291.160004,296.589996,286.519989,296.589996,264.19574,9266700,0.023090844992511666
2019-11-04,299.519989,319.5,299.100006,313.410004,279.178558,13267300,0.05516130213497417
2019-11-11,311.200012,316.399994,306.109985,312.910004,278.733215,7404200,-0.0015964642301502462
2019-11-18,311.820007,325.670013,308.029999,314.920013,280.523651,10005300,0.006402932984119659
2019-11-25,316.609985,320.179993,315.0,316.209991,281.67276,7984000,0.004087932892365306
2019-12-02,317.720001,317.929993,303.130005,316.049988,281.530243,8876400,-0.000506094613426371
2019-12-09,316.0,330.160004,310.619995,315.420013,280.969116,16997300,-0.001995121157572344
2019-12-16,317.970001,331.200012,316.910004,319.0,284.158081,17565100,0.01128595072322224
2019-12-23,320.540009,322.329987,315.220001,316.529999,284.813873,5761300,0.0023051831844752364
2019-12-30,316.519989,322.5,312.75,314.190002,282.708344,6879000,-0.007420110076553964
2020-01-06,310.850006,316.579987,298.799988,299.220001,269.238312,15443500,-0.048818874027783093
2020-01-13,300.019989,309.149994,299.670013,308.790009,277.849426,12210200,0.03148242823739306
2020-01-20,307.799988,331.579987,306.329987,324.0,291.53537,13727900,0.04808200247615354
2020-01-27,316.410004,325.429993,303.619995,305.160004,274.58313,12892800,-0.059907279704674424
2020-02-03,305.630005,319.880005,303.640015,315.230011,283.644165,10723800,0.03246645580219973
2020-02-10,312.369995,325.700012,310.299988,317.769989,285.929596,8304900,0.0080251002488111
2020-02-17,315.0,316.829987,302.290009,304.5,273.989288,9726100,-0.04265660195007655
